,CJPL,Kamioka,LNGS,SURF,SNOlab
51,"(25.0, 29.0, 3.674, 3.701, 1, 1)","(25.0, 29.0, 3.512, 3.539, 1, 1)","(25.0, 29.0, 3.323, 3.35, 1, 1)","(21.0, 25.0, 3.728, 3.755, 1, 1)","(21.0, 25.0, 3.674, 3.701, 1, 1)"
52,"(25.0, 29.0, 3.701, 3.728, 1, 1)","(25.0, 29.0, 3.539, 3.566, 1, 1)","(25.0, 29.0, 3.35, 3.377, 1, 1)","(21.0, 25.0, 3.755, 3.782, 1, 1)","(21.0, 25.0, 3.701, 3.728, 1, 1)"
53,"(25.0, 29.0, 3.728, 3.755, 1, 1)","(25.0, 29.0, 3.566, 3.593, 1, 1)","(25.0, 29.0, 3.377, 3.404, 1, 1)","(21.0, 25.0, 3.782, 3.809, 1, 1)","(21.0, 25.0, 3.728, 3.755, 1, 1)"
54,"(25.0, 29.0, 3.755, 3.782, 1, 1)","(25.0, 29.0, 3.593, 3.62, 1, 1)","(25.0, 29.0, 3.404, 3.431, 1, 1)","(21.0, 25.0, 3.809, 3.836, 1, 1)","(21.0, 25.0, 3.755, 3.782, 1, 1)"
55,"(25.0, 29.0, 3.782, 3.809, 1, 1)","(25.0, 29.0, 3.62, 3.647, 1, 1)","(25.0, 29.0, 3.431, 3.458, 1, 1)","(25.0, 29.0, 3.296, 3.323, 1, 1)","(21.0, 25.0, 3.782, 3.809, 1, 1)"
56,"(25.0, 29.0, 3.809, 3.836, 1, 1)","(25.0, 29.0, 3.647, 3.674, 1, 1)","(25.0, 29.0, 3.458, 3.485, 1, 1)","(25.0, 29.0, 3.323, 3.35, 1, 1)","(21.0, 25.0, 3.809, 3.836, 1, 1)"
57,"(29.0, 33.0, 3.404, 3.431, 1, 1)","(25.0, 29.0, 3.674, 3.701, 1, 1)","(25.0, 29.0, 3.485, 3.512, 1, 1)","(25.0, 29.0, 3.35, 3.377, 1, 1)","(25.0, 29.0, 3.296, 3.323, 1, 1)"
58,"(29.0, 33.0, 3.431, 3.458, 1, 1)","(25.0, 29.0, 3.701, 3.728, 1, 1)","(25.0, 29.0, 3.512, 3.539, 1, 1)","(25.0, 29.0, 3.377, 3.404, 1, 1)","(25.0, 29.0, 3.323, 3.35, 1, 1)"
59,"(29.0, 33.0, 3.458, 3.485, 1, 1)","(25.0, 29.0, 3.728, 3.755, 1, 1)","(25.0, 29.0, 3.539, 3.566, 1, 1)","(25.0, 29.0, 3.404, 3.431, 1, 1)","(25.0, 29.0, 3.35, 3.377, 1, 1)"
60,"(29.0, 33.0, 3.485, 3.512, 1, 1)","(25.0, 29.0, 3.755, 3.782, 1, 1)","(25.0, 29.0, 3.566, 3.593, 1, 1)","(25.0, 29.0, 3.431, 3.458, 1, 1)","(25.0, 29.0, 3.377, 3.404, 1, 1)"
61,"(29.0, 33.0, 3.512, 3.539, 1, 1)","(25.0, 29.0, 3.782, 3.809, 1, 1)","(25.0, 29.0, 3.593, 3.62, 1, 1)","(25.0, 29.0, 3.458, 3.485, 1, 1)","(25.0, 29.0, 3.404, 3.431, 1, 1)"
62,"(29.0, 33.0, 3.539, 3.566, 1, 1)","(25.0, 29.0, 3.809, 3.836, 1, 1)","(25.0, 29.0, 3.62, 3.647, 1, 1)","(25.0, 29.0, 3.485, 3.512, 1, 1)","(25.0, 29.0, 3.431, 3.458, 1, 1)"
63,"(29.0, 33.0, 3.566, 3.593, 1, 1)","(29.0, 33.0, 3.377, 3.404, 1, 1)","(25.0, 29.0, 3.647, 3.674, 1, 1)","(25.0, 29.0, 3.512, 3.539, 1, 1)","(25.0, 29.0, 3.458, 3.485, 1, 1)"
64,"(29.0, 33.0, 3.593, 3.62, 1, 1)","(29.0, 33.0, 3.404, 3.431, 1, 1)","(25.0, 29.0, 3.674, 3.701, 1, 1)","(25.0, 29.0, 3.539, 3.566, 1, 1)","(25.0, 29.0, 3.485, 3.512, 1, 1)"
65,"(29.0, 33.0, 3.62, 3.647, 1, 1)","(29.0, 33.0, 3.431, 3.458, 1, 1)","(25.0, 29.0, 3.701, 3.728, 1, 1)","(25.0, 29.0, 3.566, 3.593, 1, 1)","(25.0, 29.0, 3.512, 3.539, 1, 1)"
66,"(29.0, 33.0, 3.647, 3.674, 1, 1)","(29.0, 33.0, 3.458, 3.485, 1, 1)","(25.0, 29.0, 3.728, 3.755, 1, 1)","(25.0, 29.0, 3.593, 3.62, 1, 1)","(25.0, 29.0, 3.539, 3.566, 1, 1)"
67,"(29.0, 33.0, 3.674, 3.701, 1, 1)","(29.0, 33.0, 3.485, 3.512, 1, 1)","(25.0, 29.0, 3.755, 3.782, 1, 1)","(25.0, 29.0, 3.62, 3.647, 1, 1)","(25.0, 29.0, 3.566, 3.593, 1, 1)"
68,"(29.0, 33.0, 3.701, 3.728, 1, 1)","(29.0, 33.0, 3.512, 3.539, 1, 1)","(25.0, 29.0, 3.782, 3.809, 1, 1)","(25.0, 29.0, 3.647, 3.674, 1, 1)","(25.0, 29.0, 3.593, 3.62, 1, 1)"
69,"(29.0, 33.0, 3.728, 3.755, 1, 1)","(29.0, 33.0, 3.539, 3.566, 1, 1)","(25.0, 29.0, 3.809, 3.836, 1, 1)","(25.0, 29.0, 3.674, 3.701, 1, 1)","(25.0, 29.0, 3.62, 3.647, 1, 1)"
70,"(29.0, 33.0, 3.755, 3.782, 1, 1)","(29.0, 33.0, 3.566, 3.593, 1, 1)","(25.0, 29.0, 3.836, 3.863, 1, 1)","(25.0, 29.0, 3.701, 3.728, 1, 1)","(25.0, 29.0, 3.647, 3.674, 1, 1)"
71,"(29.0, 33.0, 3.782, 3.809, 1, 1)","(29.0, 33.0, 3.593, 3.62, 1, 1)","(29.0, 33.0, 3.377, 3.404, 1, 1)","(25.0, 29.0, 3.728, 3.755, 1, 1)","(25.0, 29.0, 3.674, 3.701, 1, 1)"
72,"(29.0, 33.0, 3.809, 3.836, 1, 1)","(29.0, 33.0, 3.62, 3.647, 1, 1)","(29.0, 33.0, 3.404, 3.431, 1, 1)","(25.0, 29.0, 3.755, 3.782, 1, 1)","(25.0, 29.0, 3.701, 3.728, 1, 1)"
73,"(33.0, 37.0, 3.431, 3.458, 1, 1)","(29.0, 33.0, 3.647, 3.674, 1, 1)","(29.0, 33.0, 3.431, 3.458, 1, 1)","(25.0, 29.0, 3.782, 3.809, 1, 1)","(25.0, 29.0, 3.728, 3.755, 1, 1)"
74,"(33.0, 37.0, 3.458, 3.485, 1, 1)","(29.0, 33.0, 3.674, 3.701, 1, 1)","(29.0, 33.0, 3.458, 3.485, 1, 1)","(25.0, 29.0, 3.809, 3.836, 1, 1)","(25.0, 29.0, 3.755, 3.782, 1, 1)"
75,"(33.0, 37.0, 3.485, 3.512, 1, 1)","(29.0, 33.0, 3.701, 3.728, 1, 1)","(29.0, 33.0, 3.485, 3.512, 1, 1)","(25.0, 29.0, 3.836, 3.863, 1, 1)","(25.0, 29.0, 3.782, 3.809, 1, 1)"
