,CJPL_0.001_N_alpha,CJPL_0.001_G,CJPL_0.005_N_alpha,CJPL_0.005_G,CJPL_0.01_N_alpha,CJPL_0.01_G,CJPL_0.05_N_alpha,CJPL_0.05_G,CJPL_0.1_N_alpha,CJPL_0.1_G,Kamioka_0.001_N_alpha,Kamioka_0.001_G,Kamioka_0.005_N_alpha,Kamioka_0.005_G,Kamioka_0.01_N_alpha,Kamioka_0.01_G,Kamioka_0.05_N_alpha,Kamioka_0.05_G,Kamioka_0.1_N_alpha,Kamioka_0.1_G,LNGS_0.001_N_alpha,LNGS_0.001_G,LNGS_0.005_N_alpha,LNGS_0.005_G,LNGS_0.01_N_alpha,LNGS_0.01_G,LNGS_0.05_N_alpha,LNGS_0.05_G,LNGS_0.1_N_alpha,LNGS_0.1_G,SURF_0.001_N_alpha,SURF_0.001_G,SURF_0.005_N_alpha,SURF_0.005_G,SURF_0.01_N_alpha,SURF_0.01_G,SURF_0.05_N_alpha,SURF_0.05_G,SURF_0.1_N_alpha,SURF_0.1_G,SNOlab_0.001_N_alpha,SNOlab_0.001_G,SNOlab_0.005_N_alpha,SNOlab_0.005_G,SNOlab_0.01_N_alpha,SNOlab_0.01_G,SNOlab_0.05_N_alpha,SNOlab_0.05_G,SNOlab_0.1_N_alpha,SNOlab_0.1_G,exposures
10,5.751368461629682,3.50298337312915,5.170840415625893,3.026439118886278,4.761534966879658,2.6904481858503826,3.47913553126351,1.6377512715600637,2.7020492320460905,0.9998561457481728,7.598604890879508,3.6855080466792325,6.41881186669009,2.884572388561879,6.076289658512953,2.652041559338974,4.4411619245329135,1.5419891341510663,3.906670095371723,1.1791343315116887,9.020718727577108,3.7497066510381285,7.502028071079059,2.8379847698940477,6.683959053054162,2.3468699922873886,5.364598084791056,1.5548125322996773,4.5489085066507355,1.0651262137398647,9.762902300169957,3.375573238693237,8.676856039493593,2.7927691911524994,8.044636136665524,2.4535015819858863,6.167031110161227,1.4459240516806404,5.412250162251618,1.0408866169268,9.641909858683833,3.6336441592549713,8.481972907259461,2.9822802058692583,7.711295325100108,2.5495053071261617,6.170877245321731,1.6844817305609379,5.231589265443473,1.1570234655320626,630
11,7.0197861375933215,3.9171498245629146,5.894917637072614,3.0753332756734246,5.101400920680831,2.4814900812290674,3.7759824330778886,1.4895881686484007,3.3541820785948535,1.1739259214018074,8.376117076550072,3.5683184558195027,7.2114893373662206,2.8475187395371093,6.843573271157842,2.619811818933813,5.245853342213186,1.6309670295343455,4.368100538195123,1.08771707007033,9.864180154820573,3.5715689115809726,8.477462955945992,2.8126128555277274,7.9116336706477615,2.502932148374249,6.465781930361732,1.7116115133264018,5.218856759385904,1.029164212084756,11.563447242871499,3.6131006408541944,9.82111776738749,2.760707021131849,9.553583843614058,2.6298223561517036,7.853494274183518,1.7980936146422732,6.249852050651938,1.013549463326721,10.389236744219962,3.3654114967855673,9.671229934433619,2.997830058815049,8.751482240895282,2.5269679790229467,6.592550176912312,1.421709168461435,6.235724198839261,1.239033176621805,758
12,7.5346637382610995,3.674928090268297,6.388281457156262,2.8927919531700597,5.897187519677594,2.557735906384561,4.471798813425041,1.585243540663957,3.8117832224534633,1.1349382164665123,9.887883836109804,3.8068574693055126,8.421280076725619,2.9793394590306916,7.6279714769727684,2.5317222005852114,6.113385020479812,1.6771303840522214,4.6662492071831245,0.8605969876564948,11.228284182305638,3.5982991819482533,9.611302821443708,2.7914898251401277,8.822156308851218,2.3977371167522366,6.815278991613267,1.3963851922931492,6.705860351402144,1.3417896447696462,12.922011762986731,3.521290244642108,11.23381359217922,2.768332654454675,10.49190426620558,2.4374317757056536,9.035772614506651,1.7879787681038082,7.39516850237748,1.0562487259313929,12.480054835761452,3.6821849754323446,11.047733410295002,3.0136830211782084,10.297147793795297,2.6633650390941987,8.39249710808228,1.7744146380653358,7.435365612796593,1.327696280230052,912
13,8.477100840336242,3.669074615037875,6.857806008951733,2.6612824932741495,6.807476360625724,2.6299590912036805,5.2070406717578335,1.6339042361088154,4.620754800509103,1.2690205406296744,10.340331427688453,3.3793333107638066,9.570708603296975,2.9832060400243425,8.543643895908973,2.4545726282851303,6.9125001757243325,1.615017862518607,5.738308251218298,1.0106576127473492,12.997019298777518,3.7185809673896806,10.891774668851768,2.760371135382249,10.627168235628666,2.639934544630448,8.73286792922285,1.7777367968861577,7.384990332431369,1.1642453540253352,14.326420217209686,3.3708894685762245,12.98870462285343,2.8266337234212897,11.529938418554257,2.2331279805883018,10.30199946085143,1.733535365200622,9.141918141813472,1.261550942355375,13.370263961213873,3.3435876822026334,12.003648551645727,2.7617516026357674,11.216927509880236,2.4268053672510503,9.096004262350617,1.5238229635952798,8.401005025125626,1.2279272575628601,1096
14,9.261897325785629,3.494444248786425,7.852245325378577,2.6944174899345077,7.517948291628559,2.5046922440386346,5.842350392053803,1.5537318961309368,5.16053987111786,1.1667806052747458,11.801060659703744,3.408355038316748,10.956039165716593,3.0117373028277914,10.232812399805805,2.6722849170818495,7.917790276911966,1.5857103878865564,7.380557581690185,1.333555837350672,13.794860797591905,3.316306260904317,12.394697384713513,2.735161467047219,11.949949676813304,2.5505667171424573,9.702834474977612,1.6178903675588427,8.438053997138589,1.0929369347611526,16.211203856101687,3.31919744361877,14.57120514970875,2.7107398581438202,14.085649911835784,2.5305935162599913,11.228149194492076,1.4704292733308202,10.206176909905647,1.0912662982151622,15.580787682695455,3.4733909965503393,14.02857545045046,2.870757859746312,12.536283854796952,2.291388398126828,10.475645946989058,1.4913633368608779,9.823923225661114,1.238337558734987,1318
15,10.265278724855165,3.382623283321211,8.956873461705491,2.7052703744060267,8.47935001499636,2.458059586729277,6.989363420094865,1.6867032014212284,6.08312906129944,1.2175515582894256,13.70175152749497,3.530558504192294,11.932058025110289,2.7728842195641596,11.226187191969421,2.4706735950581673,8.980955165478942,1.5094028624691485,7.9148606699179,1.0529665455692168,16.138668746012506,3.468893339153325,13.871184623512242,2.6104137032242223,13.029035454271328,2.2915722590730065,11.467564924207947,1.7003925287008577,10.144606145462479,1.1995144147344885,18.86980052547879,3.431244221512864,16.56102538988925,2.6498889305109645,16.016701370911452,2.4656741727844103,13.657263582039212,1.6671731963545866,11.814834121595988,1.043642569649578,17.32421229425592,3.3115997534259316,15.838295837507902,2.785368768731975,14.590864483405005,2.343596267440537,12.059602317632688,1.4471605519844228,11.051095307679956,1.0900020896038007,1584
16,12.348849237134614,3.711125733691917,10.326533274559804,2.7564589189588804,9.65151827008633,2.437807216582349,8.275001578210677,1.7880003466476146,6.638733450454293,1.0155736287248998,15.394576957695739,3.448661793422971,13.318247178740402,2.638053724263992,12.939553831846817,2.490210214124092,10.909672799671661,1.6977359353311507,9.583058446868375,1.1798199905983697,18.40070654483658,3.4560120270256225,16.35076260087037,2.7482979617389574,15.22176742906906,2.3585283950752873,13.194804246776808,1.6587481117417977,11.324748837209304,1.0131380109818162,21.35767506201101,3.350562671736413,19.126093244463764,2.6618947823326535,17.762588503697483,2.241116155874941,15.338405389144356,1.4930113559969542,13.942893157014467,1.062355192740384,19.565968116553965,3.2218726011033865,18.18703102549093,2.776568622392497,16.659144111122554,2.2831638641928054,14.713580325838988,1.6548775558198097,13.336147798808025,1.2100594501440634,1905
17,13.614555292344154,3.5393052406727272,11.477532592117528,2.619191109492967,10.887113168660033,2.3649807752795597,8.891128332703401,1.5055917510125487,7.835711797024784,1.0511727742484271,17.33273704052784,3.363416284599145,15.33080779463935,2.650574641000472,14.537302556260112,2.3680254053108905,12.605591898790674,1.6801870099951506,11.164533948181688,1.167058926101688,21.052391441157983,3.453175605993818,18.532265318993556,2.65963735404825,17.386886591709118,2.298980073814864,14.800880533406648,1.4846975230417563,13.451564942024024,1.0598245270866726,24.37097096399535,3.30679255456816,22.078064601855427,2.661416143622932,20.787814732172283,2.2982539823292996,17.9502792481746,1.4995826990924828,16.469988656342444,1.0829304340514372,22.901574803149618,3.3502489296697955,20.33900222264337,2.5954729931888814,19.692588205294616,2.405079265803252,17.073408173160914,1.6336302631079687,15.315123972011547,1.11574811037693,2290
18,15.249709060681798,3.4402685879841917,13.182309037613624,2.628573616939105,12.465990214799822,2.3473351630089305,10.390599223100184,1.5325028073360187,9.07246093891019,1.0149802164098718,19.304793013848354,3.1884535012646555,18.08234718294543,2.7915273293798677,16.721132841951746,2.349543248100602,14.299206340184298,1.563147654421973,12.359291176230277,0.9332603577057,23.83512291713345,3.361102238747894,21.58775959206581,2.7158126577513717,20.070314105075877,2.2801057333023276,17.621054743559995,1.5768453705851309,16.35998535788786,1.2147521894732511,27.928771245288008,3.2721041927262124,25.18615386875031,2.568176963824707,23.994624404284426,2.2623559472836354,20.992085136498527,1.4917164973474326,19.917675836493537,1.2159558434084254,26.338671270559896,3.350853716204548,23.035998730988492,2.463813807690428,22.747578496445914,2.3863491921716666,19.261327288989207,1.4500032738079431,17.85058628444654,1.071102987263325,2754
19,17.25876739699592,3.3871542519722895,15.301716365216446,2.6863885036378057,14.351314879812795,2.346076065524469,12.498705927686085,1.6827081320231176,10.91806705666479,1.1167251487941834,22.123286551685204,3.17447545893502,20.156869369369364,2.5921602275978994,19.266713777301888,2.32855840180916,16.4368337241928,1.4905458617428566,15.236712766597552,1.1351539747417607,27.084323375352536,3.2738326763791803,24.769117040297083,2.667552395196529,23.894352146342428,2.438478771025214,20.16933281671353,1.463012467057915,18.6814277972028,1.0733765802070623,31.683140257158712,3.144362148186795,29.097327834672136,2.5390743258885036,28.181120770099703,2.3246082748838948,24.876172382378403,1.5509848693282822,22.830626193225154,1.0721627446157282,29.90629251700686,3.2431482559499782,27.18992484478813,2.577770045244253,26.50541664156172,2.4100987656401323,22.653705879985512,1.4666166144922237,21.44928872957699,1.1715928823670603,3311
